"こうもり","Bat"
"スライム","Slime"
"オーク","Orc"
"ミノタウロス","Minotaur"
"遠見可憐","Enmi Karen"
"<BE有効>
<BEValid>
",""
"小悪魔A","Imp A"
"<BE有効>
<BEValid>",""
"小悪魔B","Imp B"
"ロリダークエルフ","Loli Dark Elf"
"ダークエルフ","Dark Elf"
"高木優香","Takagi Yuuka"
"盗賊サキュバス","Thief Succubus"
"ドライアド","Dryad"
"マジックサキュバス","Witch Succubus"
"早瀬凛","Hayase Rin"
"姫野六花","Himeno Rikka"
"夢咲恭子","Yumesaki Kyouko"
"メイドサキュバスA","Maid Succubus A"
"形を持たぬ者",""
"メイドサキュバスB","Maid Succubus B"
"サキュバスクイーン","Succubus Queen"
"メイド長","Head Maid"
"サキュバス","Succubus"
"セーレ","Seele"
"大淫魔","Great Succubus"
"アイドルサキュバス","Idol Succubus"
"神官サキュバス","Priestess Succubus"
"ダンタリオン","Dantarion"
"アルフィミア","Alfimia"
"女神フレイ","Goddess Frey"
"アル(フレイ)","Al(Frey)"
"アル","Al"
"バニーガール","Bunny Girl"
"夏目桃香","Natsume Momoka"
