"ポーション","Potion"
"HPを300回復する","Recovers 300 HP."
"マジックウォーター","Magic Water"
"MPを100回復する","Recovers 100 MP."
"メガマジックウォーター","Mega Magic Water"
"MPを200回復する","Recovers 200 MP."
"ギガマジックウォーター","Giga Magic Water"
"MPを300回復する","Recovers 300 MP."
"小悪魔カードA","Imp A Card"
"使用することで小悪魔Aとの戦闘を簡易化するカード。
敵の能力値も低下する。","Card for simplifying fights with Imp A.
It also decreases the enemy's strength."
"ミックスポーション","Mixed Potion"
"HPを20％、MPを30％回復する","Recovers 20% HP & 30% MP."
"店員カード(Lv.1～9)","Shopkeeper A Card (Lvl 1-9)"
"使用することで店員によるLv.1～9の時のレベルドレインを
簡易化するカード。","Card for shortening the shopkeeper level drain for
lvl 1-9."
"メガミックスポーション","Mega Mixed Potion"
"HPを40％、MPを50％回復する薬","Recovers 40% HP & 50% MP."
"小悪魔カードB","Imp B Card"
"使用することで小悪魔Bとの戦闘を簡易化するカード。
敵の能力値も低下する。","Card for simplifying fights with Imp B.
It also decreases the enemy's strength."
"ロリダークエルフカード","Loli Dark Elf Card"
"使用することでロリダークエルフとの戦闘を
簡易化するカード。敵の能力値も低下する。","Card for simplifying fights with Loli Dark Elf.
It also decreases the enemy's strength."
"店員カード(Lv.10～17)","Shopkeeper A Card (Lvl 10-17)"
"使用することで店員によるLv.10～17の時のレベルドレインを
簡易化するカード。","Card for shortening the shopkeeper level drain for
lvl 10-17."
"ギガミックスポーション","Giga Mixed Potion"
"HPを60％、MPを70％回復する薬","Recovers 60% HP & 70% MP."
"ドライアドカード","Dryad Card"
"使用することでドライアドとの戦闘を簡易化するカード。
敵の能力値も低下する。","Card for simplifying fights with Dryad.
It also decreases the enemy's strength."
"盗賊サキュバスカード","Thief Succubus Card"
"使用することで盗賊サキュバスとの戦闘を簡易化するカード。
敵の能力値も低下する。","Card for simplifying fights with Thief Succubus.
It also decreases the enemy's strength."
"マジックサキュバスカード","Witch Succubus Card"
"使用することでマジックサキュバスとの戦闘を
簡易化するカード。敵の能力値も低下する。","Card for simplifying fights with Witch Succubus.
It also decreases the enemy's strength."
"店員カード(Lv.18～25)","Shopkeeper A Card (Lvl 18-25)"
"使用することで店員によるLv.18～25の時のレベルドレインを
簡易化するカード。","Card for shortening the shopkeeper level drain for
lvl 18-25."
"メイドサキュバスAスキップ","Maid Succubus A Skip"
"所持しているとスキップ機能で、
メイドサキュバスAとの戦闘のon/offが切り替えられる。","Enables Battle Skip Setting for Maid Succubus A when
held."
"メイドサキュバスBスキップ","Maid Succubus B Skip"
"所持しているとスキップ機能で、
メイドサキュバスBとの戦闘のon/offが切り替えられる。","Enables Battle Skip Setting for Maid Succubus B when
held."
"大淫魔カード","Greater Succubus Card"
"使用することで大淫魔との戦闘を簡易化するカード。
敵の能力値も低下する。","Card for simplifying fights with Greater Succubus.
It also decreases the enemy's strength."
"店員カード(Lv.26～38)","Shopkeeper A Card (Lvl 25-38)"
"使用することで店員によるLv.26～38の時のレベルドレインを
簡易化するカード。","Card for shortening the shopkeeper level drain for
lvl 26-38."
"テラミックスポーション","Tera Mixed Potion"
"HPを80％、MPを90％回復する薬","Recovers 80% HP & 90% MP."
"魂の果実","Soul Fruit"
"食べるとHPを10、MPを2、全能力を1ずつ増加させる。","Permanently increases status when eaten.
【HP +10, MP +2, All Stats +1】"
"アイドルサキュバスカード","Idol Succubus Card"
"使用するとアイドルサキュバスとの戦闘を簡易化するカード。
敵の能力値も低下する。","Card for simplifying fights with Idol Succubus.
It also decreases the enemy's strength."
"神官サキュバスカード","Priestess Succubus Card"
"使用することで神官サキュバスとの戦闘を簡易化するカード。
敵の能力値も低下する。","Card for simplifying fights with Priestess Succubus.
It also decreases the enemy's strength."
"セーレカード","Seele Card"
"使用することでセーレとの戦闘を簡易化するカード。
敵の能力値も低下する。","Card for simplifying fights with Seele.
It also decreases the enemy's strength."
"ドライアドカードB","Dryad B Card"
"店員カード(Lv.39～45)","Shopkeeper A Card (Lvl 39-45)"
