"EV001","",""
"小悪魔B","","Imp B"
"<小悪魔B>
『もう終わりなの？
　負けちゃったらどうなるか…分かってるわよね？』","","<Imp B>
""Are you already finished? Now that you've lost...
 You know what it means, right?"""
"小悪魔は身体が動かなくなった貴方に、
脅すような笑みを浮かべる。","","The imp looked at you in a menacing smile when you
couldn't move at all after losing."
"<小悪魔B>
『貴方はこのまま、
　私にすべての力を吸い尽くされちゃうのよ。
　おっぱいに負けちゃう弱い男にはお似合いの最期よね♡』","","<Imp B>
""I'm going to drain all the power from you♡ I think
 it's a fitting end for a weak man who lost to boobs♡"""
"小悪魔は嘲りながらそう言うと、
肉棒を谷間に招き入れ、柔らかく両側から圧迫する。","","The imp tucked your penis between her soft breasts
while she made fun of you."
"吸い付くような柔らかさの乳房に、
これから力を吸い取られるというのに、
肉棒はピクリと喜びの反応を示してしまう。","","Her breasts were so soft that they nearly sucked you
inside them. Your was happily twitching even when
she's about to drain all your strength."
"<小悪魔B>
『嫌なら頑張って耐えることね。
　弱いおちんぽにはそんなことできないと思うけど♡』","","<Imp B>
""If you don't want that to happen, then you just need
 to resist and hold in your semen. Not that I think
 you'll be able to with your weak dick, though♡"""
"<小悪魔B>
『ほら♡おっぱいに軽く挟まれてるだけで、
　嬉しそうに震えちゃってる♡
　また負けたいよーっておねだりかしら♡』","","<Imp B>
""Look♡ Your dick happily twitches when I give it the
 slightest squeeze♡ Is it begging me to beat it with
 my boobs again?"""
"小悪魔はからかうようにそう言いながら、
肉棒の反応を楽しむようにたぷたぷと乳房を弾ませる。
柔らかい乳肉に軽く擦れる快楽が貴方を支配し、
彼女の言葉への反論が掻き消えていく。","","The imp made fun of you while enjoying how your penis
reacted to her slow breasts movements. The pleasure
from her soft breasts took over your mind so badly
that you even forgot to object to what she said."
"<小悪魔B>
『ふふ♡それならちゃんと負けさせてあげるわ♡
　私のパイズリで、またよがっちゃいなさい♡』","","<Imp B>
""Ahaha♡ Looks like that's what it wants♡ I'll give
 it the loss it desires♡ Completely lose yourself to
 the pleasure of my boobjob♡"""
"小悪魔はリズムカルに乳房を上下に振り始める。
柔らかな乳肉に肉棒全体が擦られ、
谷間の中で肉棒が溶かされていくような錯覚を覚える。","","The imp began shaking her breasts up and down in a
fixed pace. You saw an illusion of your penis melting
down between her soft mounds while they rubbed through
your whole lenght."
"<小悪魔B>
『ほらほらぁ♡ここが気持ちいいんでしょ？
　先っぽをたくさんおっぱいで虐めてあげるわね♡』","","<Imp B>
""Hey♡ You like it here on the tip, right?
 I'll focus rubbing that spot with my boobs♡"""
"小悪魔は乳房を軽く浮かせる。
そして、カリ首に乳肉を引っかけるようにしながら、
たぷんたぷんと激しく上下に乳房を振る。","","The imp slightly lifted up her breasts before trapping
your glans between the center of them and starting to
shake them up and down hard."
"男の弱点を的確に攻め立てるようなパイズリに、
貴方のほほは思わず緩んでしまう。","","The moment she changed the focus of her boobjob to your
weak spot, your expression instantly turned to the
sloppier."
"<小悪魔B>
『ふふ、ずいぶんとろけた顔をしちゃうのね♡
　おっぱいに力を吸われちゃうのがそんなに嬉しいの？』","","<Imp B>
""Ahaha♡ You're making such a sloppy face♡ Does it
 make you that happy when I'm draining your power with
 my boobs?"
"<小悪魔B>
『ここに来るまでに必死にためた貴方の力♡
　全部私のおっぱいに搾り取られちゃうのに、
　気持ちよくなっちゃうのね♡変態♡』","","<Imp B>
""All that power you've worked hard to obtain♡ But now
 you're going to lose all of it to my boobs and even
 enjoying every moment of it♡ You pervert♡"""
"ここまでの冒険がすべて無駄になる…………
そう告げられているのに、パイズリによる快感に我慢できず、
喘ぎ声が出てしまう。","","The imp was implying how your whole adventure would all
be for naught if you lost to her breasts now, but even
then, her boobjob felt so amazing that you couldn't
resist nor stop yourself from moaning."
"小悪魔はそんな貴方の反応を楽しそうに見つめながら、
じっくりと搾りだすように乳房の圧迫を強め、
パイズリを続ける。","","She simply continued working your penis in slow milking
boobjob while enjoying your reactions."
"<小悪魔B>
『本当に弱いおちんぽね♡
　おっぱいに弄ばれて、もう負けちゃいそう♡』","","<Imp B>
""Your dick is honestly so weak♡ It's already about to
 lose to my boobjob♡"""
"<小悪魔B>
『ほらほら、女の象徴に弄ばれて
　手も足も出ないなんて恥ずかしくないの？
　少しは意地を見せてみなさい♡』","","<Imp B>
""Hey♡ Don't you feel ashamed to lose to a pair of
 boobs while unable to do a thing? Show me at least
 a little bit of pride and resistance♡"""
"乳房に弄ばれるままの貴方を小悪魔はそう叱咤しながら、
肉棒を追い詰めるようにむにゅぅっと締め付ける。","","The imp pointed out your lack of resistance while
toying your penis with her breasts and then tightly
squeezing them together as if trying to finish you
off."
"肉棒全体が四方から柔らかな乳肉に圧迫され、
とろけるような快楽に腰が浮いてしまう。
意地を見せろ、といわれても、もう長く我慢できそうにない。","","With her soft breasts pressing down on your penis from
all sides, you reflexively thrusted your hips forward
from the mind-melting pleasure. She told you to resist,
but you wouldn't last much longer even if you did."
"それでも、小悪魔の挑発的な視線に触発されて、
貴方は手のひらを握りしめ、
歯を食いしばって快感に耐えようとする。","","But you found the imp's provocative gaze so annoying
that you decided to do it. You gripped your fist and
clenched your teeth to endure the pleasure."
"<小悪魔B>
『そうそう、その調子よ♡
　簡単に搾り切ったらつまらないもの。
　じっくり楽しみましょう？』","","<Imp B>
""Yes, that's it♡ Draining someone to death is so
 boring if they don't resist at least a little♡
 Let's take our time to enjoy ourselves♡"""
"小悪魔は強く締め付けた乳房を、ゆっくりと上下に振る。
ほんのわずかな動きでも、肉棒全体が柔らかな感触に擦られ、
強い快楽を感じてしまう。","","The imp slowly moved her tightly squeezed breasts up
and down. Even the slightest movement was enough make
their soft sensation rub on your whole penis in amazing
pleasure."
"<小悪魔B>
『ほら、ゆっくり動かしてあげるわ。
　まさかこんなゆっくりとしたパイズリに、
　負けちゃったりしないわよね？』","","<Imp B>
""Hey♡ I'm going to move really slowly♡ You wouldn't
 lose to this kind of slow boobjob, right?"""
"小悪魔は試すような口調で、
ゆっくりと乳房を揺さぶり続ける。
乳房が軽く弾むたびに、
むにゅんと柔らかな乳肉が貴方の弱点に絡みつく。","","The imp continued slowly shaking her breasts as if
testing you. With every bounce, the soft breasts meat
rubbed along your weak spots."
"<小悪魔B>
『ふふ、こうしてゆっくりおっぱいを動かしていると、
　貴方のちんぽをおっぱいで溶かしちゃってるみたいね♡』","","<Imp B>
""Ahaha♡ It's like your dick is melting into my boobs
 when I move slowly like this♡"""
"くすくすと小さく笑いながら、小悪魔はパイズリを続ける。
じっくりといたぶられるようなパイズリは、
確かに貴方の肉棒に溶かされるような快感を与えていく。","","The imp continued with the boobjob while giggling at
you. The way she slowly teased you with her breasts
was certainly making you feel like your penis was
melting away from the pleasure."
"そんな彼女の乳房による愛撫に、こらえきれず、
ついに肉棒から先走りがとろりとあふれてしまう。","","Her breast caress was just so irresistible that it
didn't take much longer before precum to started
dripping from your tip."
"<小悪魔B>
『おちんちん、泣いてきちゃったわ♡
　こんなにゆっくりとした動きでもおっぱいに負けちゃうの？
　情けない男ね♡』","","<Imp B>
""You dick started crying♡ Is it going to lose to my
 boobjob even when I'm doing it this slowly?
 How shameful♡"""
"小悪魔の嘲るような声にも、
せりあがってくる射精感は止められない。
とろり、とろりと先走りがあふれ続け、
密着した小悪魔の乳房にぬめりを与えていく。","","The imp made fun of the way you were getting off on
her slow boobjob, but you still couldn't do anything
about your growing need to orgasm. Your precum simply
continued flowing to lubricate her breasts."
"<小悪魔B>
『もう我慢汁止まらないわね♡
　もうそろそろイきそうなんでしょ？
　おっぱいで貴方の力、搾ってあげる♡』","","<Imp B>
""Your precum isn't stopping at all♡ You're about to
 cum, right? I'll take away your power with my boobs♡"""
"<小悪魔B>
『こんなに弱いおちんぽじゃ、
　力なんて持っていても宝のもち腐れだもの♡
　力の方が可哀そうだわ♡』","","<Imp B>
""Any power you've gained is pearls before swines when
 your dick is so weak♡ I feel so sorry for all that
 power that's been stuck with you♡"""
"小悪魔は小ばかにしたようにそう言いながら、
ゆっくりと乳圧をさらに強めていく。","","The imp slowly began squeezing her breasts together
harder while making fun of your strength."
"甘い圧迫感に肉棒が包み込まれ、
むにゅむにゅと柔らかく乳肉に擦られれば、
もう射精感を我慢できそうになく腰が浮いてしまう。","","The sweet and soft pressure of her breasts surrounded
your penis, and when she began moving, your hips shot
up from the explosive need to orgasm."
"<小悪魔B>
『ふふ♡
　パイズリに負けて漏れ出しちゃう貴方の力、
　おっぱいで受け止めてあげる♡』","","<Imp B>
""Ahaha♡ Lose to my boobjob♡ Shoot away all the power
 you have and spill it on my boobs♡"""
"小悪魔は貴方の反応を見て肉棒の限界を察すると、
トドメをさすように乳房で肉棒を激しく上下に扱く。","","The imp noticed how your penis was at the brink of its
limit and began shaking her breasts up and down hard
to push you past the edge."
"<小悪魔B>
『ほらほらぁ♡
　惨めにおっぱいに負けて敗北射精しなさい♡』","","<Imp B>
""Now♡ Shamefully cum and lose to my boobs♡"""
"\n[1]のレベルが1下がった。","","\n[1] lost 1 level."
"トドメをさすようなパイズリで肉棒をもみくちゃにされ、
貴方の我慢はあっけなく決壊して精液が噴き出してしまう。","","The imp crushed your penis in the intense boobjob,
making you instantly reach your limit and shoot your
semen."
"<小悪魔B>
『ふふ♡貴方の力、
　おっぱいにたくさん出しちゃったわね♡』","","<Imp B>
""Ahaha♡ You shot away so much of power to my boobs♡"""
"<小悪魔B>
『でも、これで全部じゃないでしょう？
　まだまだパイズリを続けてあげるわ♡
　空っぽになるまで出し尽くしなさい♡』","","<Imp B>
""But this can't be all of it, right? I'm going to
 continue with the boobjob until you've given me all
 your power and there's nothing left♡"""
"<小悪魔B>
『このままパイズリでゲームオーバーにしてしまうから♡
　弱いちんぽ、全部私のおっぱいに搾り取られちゃうの♡』","","<Imp B>
""I'm going to spell your end right here with my
 boobjob♡ My boobs are going to drain everything
 you have from your weak dick♡"""
"小悪魔は乳房を激しく動かし、
残った精液を搾り取るようなパイズリを行う。","","The imp restarted her intense boobjob to squeeze out
any and all the semen you have left."
"射精直後の敏感な肉棒への激しい責めも、
先ほど出した精液でぬめる乳房では快感のみが感じられ、
快楽に悲鳴が出てしまう。","","With your penis in the sensitive post-orgasm state,
you couldn't help but scream when she rubbed it with
her breasts and used your semen and lubrication."
"<小悪魔B>
『どうせパイズリに勝てない弱いおちんぽなんだから、
　さっさとイっちゃいなさい♡むにゅむにゅ♡』","","<Imp B>
""Since your weak dick has zero chances to win against
 my boobjob by now, I'm just going to make you cum
 right away♡"""
"馬鹿にしたような小悪魔の声を聴きながら、
このままでは魂まで全て搾り取られる、そう恐怖する。
その恐怖から貴方は必死に快楽に耐えようとする。","","With how intense the imp was working your penis, it
felt like she was going to drain even your soul.
You had a really bad feeling about it and desperately
tried to endure the pleasure out of fear."
"<小悪魔B>
『我慢なんてしても無駄だって教えてあげたわよね？
　今更後悔しても遅いわよ♡むにゅぅっ♡』","","<Imp B>
""Didn't I already say that your dick has zero chances
 against my boobjob? It's too late to regret not
 working harder earlier♡"""
"そんな貴方の我慢を嘲笑うように、
小悪魔は肉棒を乳房で強く締め付けたまま、
貴方の腰にたたきつける様にぱんぱんと振り下ろす。","","The imp made fun of your futile resistance. She
squeezed her breasts really tight while shaking
them so hard that they loudly smacked on your waist."
"暴力的な快楽に、
貴方の肉棒からはとめどなく我慢汁があふれ出してしまう。","","Precum began endlessly flowing from your penis again
before the violent pleasure."
"<小悪魔B>
『くす♡もうおちんぽ泣いちゃった♡
　このまま、すぐに負け汁も搾り取ってあげるわね♡』","","<Imp B>
""Ahaha♡ You dick is crying already♡ I'm going to
 drain your loser juice in an instant♡"""
"柔らかな乳房は肉棒全体に絡みつきながら、
むにゅむにゅと激しくすり潰すように愛撫する。","","The imp was crushing your whole penis between her soft
breasts in the intense boobjob."
"一切の容赦がない激しいパイズリに、
貴方の目の奥でチカチカと星が舞う。
ガクガクと腰が震え始め、精液がせりのぼってきてしまう。","","It was so intense that lights were flickering in your
eyes, and your hips began quivering before your
quickly-approaching orgasm."
"<小悪魔B>
『ほらほらぁ♡イっちゃいなさいよ♡
　弱いおちんぽ、おっぱいに屈服射精しなさい♡』","","<Imp B>
""Now♡ Cum♡ Surrender your weak dick to my boobs
 and cum♡"""
"乳房に激しく肉棒を擦られると、貴方は言われるがまま、
腰を突き上げて思いっきり射精してしまう。","","You followed the imp's orders and shot your load in
her intense boobjob with your pelvis thrust forward."
"<小悪魔B>
『ふふ♡まだまだ♡
　最期に気持ちいい思いが出来るんだから、本望よね？
　私のパイズリでイき狂いなさい♡』","","<Imp B>
""Ahaha♡ There's still more♡ You've always wanted to
 die in the most amazing pleasure, right? Just go ahead
 and go totally crazy in my boobjob♡"""
"小悪魔は射精の最中もパイズリを緩めず、
残る精液を全て搾り取る様に激しく肉棒を乳房で揺さぶる。
激しい責めに、手足が痙攣するも、彼女は気にも留めない。","","The imp didn't stop her boobjob even while you were in
the middle of orgasm and continued milking you for all
your remaining semen. Your whole body was quivering
because of it, but she didn't show any sign of caring."
"<小悪魔B>
『逝け♡自分が負けたおっぱいに殺されて……
　天国でもこれを思い出しながらオナニーしてなさい♡』","","<Imp B>
""Die♡ Die to my amazing boobs♡ Make sure to recall
 their pleasures when you touch yourself in heaven♡"""
"貴方はただ快楽に支配され、何も考えらえなくなりながら、
彼女の乳房にありったけの精液をぶちまける。","","The pleasure was completely overtaking you. You
couldn't think at all while shooting semen on the
imp's breasts."
"………………………………","",".................."
"ただ小悪魔のおっぱいの感触に脳内を支配されながら、
貴方の意識は失われていった。","","The only thing filling your mind was the imp's breasts
while your consciousness was fading to dark."
"\{\{-----GAME OVER-----","","\{\{-----GAME OVER-----"
"EV003","",""
"『気づいてるかしら？
　そこの赤いクリスタルに触れることでも、
　体力は回復できるのよ。』","","""Have you noticed how touching that red crystal
 recovers your HP?"""
"『ゆっくりしている暇がないとか、
　この部屋で休みたくないとか、そう言う事情があるときは、
　さっと触れるだけにして先に進むのもいいと思うわよ。』","","""You can just touch it and recover if you don't have
 the time to sleep."""
"<アル>
『体力が危ない時とかは、
　ちゃんと回復してから進もうね！』","","<Al>
""Let's make sure to recover HP whenever needed!"""
"『まぁ、部屋で何をするのも自由でしょうけど…
　こっちに近づかないでくれる？
　私、情けない男って嫌いなの。』","",""
"<アル>
『うー…………
　そりゃ、同じ部屋なんだから見られちゃってるよね…』","",""
"EV004","",""
"『少し休んでいきますか？』","","Rest for a moment?"
"はい","","Yes"
"いいえ","","No"
"<アル>
『え？この部屋で休んでいくの？
　まぁ、休息は大事だもんね！お休み、\n[1]！』","",""
"<アル>
『お休み、\n[1]。
　私が見張ってるね…？』","",""
"EV006","",""
"EV007","",""
"『…………けて…………』","","""...me..."""
"<アル>
『え？何か聞こえなかったかって？
　ん～………確かに人の声のようなものが聞こえたような…』","","<Al>
""Hmm? \n[1], did you hear something just
 now? I think I heard someone's voice..."""
"『誰か……たす、けて…………』","","""Somebody... save... me..."""
"<アル>
『うん！今度はしっかり聞こえた！
　誰かが助けを求めてるみたいだね！』","","<Al>
""I heard it clearly this time! Someone is calling for
 help!"""
"<アル>
『あの上の小道の奥から、かな？
　個人的に気になることもあるから、行ってみよ！』","","<Al>
""Did it come from that small path leading up?
 I'm curious what's happening there! Let's go!"""
"EV008","",""
"EV009","",""
"EV010","",""
"『あんた、すげー強いんだな……
　おかげで助かったぜ…………』","","""Wow, you're amazingly strong. You really saved me
 from the pinch there."""
"『あんたにゃ物足りない額とは思うが……
　せめてものお礼だ、受け取ってくれ…………』","","""It might not be much for a strong guy like you, but
 please take this as my thanks."""
"貴方は男性から1000Gを受け取った。","","The man gave you 1000G."
"<アル>
『えへへ♪\n[1]がこの人のこと、
　見捨てないでいてくれて嬉しいよ！』","","<Al>
""Ehehe♪ \n[1], I'm happy you didn't abandon
 a person in trouble!"""
"アルは嬉しそうに貴方の周りを飛び回っている。","","Al happily flew circles around you."
"『じゃあ、俺はそろそろ行くとするよ。
　ほんとにありがとな。』","","""It's about time for me to go. Seriously, thanks for
 the help."""
"そう言って男性は去っていった。","","The man left after saying his thanks."
"EV011","",""
"『くぉ……も、もう無理……ま、負ける…………』","","""Ugh... I-I can't... I-I'm going to lose..."""
"<小悪魔B>
『ふふ、もう限界みたいね。
　いいわ、私のおっぱいでイっちゃいなさい♡』","","<Imp B>
""Ahaha. Looks like you're at your limit.
 Then go ahead and cum in my boobs♡"""
"どうやら男性がモンスターに敗北寸前のようだ……","","Somebody is at the brink of defeat..."
"<アル>
『わ、ギリギリみたい！
　ねぇ、助けてあげよう！』","","<Al>
""\n[1]! We can still barely make it in time!
 We need to save him!"""
"助ける","","Save him"
"助ける準備をする","","You're not ready"
"<アル>
『さすが\n[1]！放ってはおけないもんね！』","","<Al>
""As expected of you! You can't leave someone to die!"""
"<小悪魔B>
『ふふ…あら？邪魔者が来たようね。
　もうすぐだったというのに…………』","","<Imp B>
""Ahaha... Oh? Looks like someone came to interrupt.
 I was this close to having him too..."""
"小悪魔Bは貴方に気が付いたようだ。","","The imp turned her attention to you."
"『うぐ……助けに来てくれたのか…………？』","","""Ugh... Did you come to save me?"""
"男性はすがる様に貴方を見つめている。","","The man looked at you with tears in his eyes."
"<小悪魔B>
『まぁいいわ。
　貴方も私のおっぱいで搾りつくしてあげるだけよ。』","","<Imp B>
""Well, that works too. I'll just milk you too with
 my boobs♡"""
"<小悪魔B>
『2人仲良く、ここでゲームオーバーにしてあげるわ♡』","","<Imp B>
""I'll let both of you have a game over together♡"""
"<優香>
『あ～あ、何してくれてんの？
　せっかく獲物を見つけたのに、台無しじゃん。』","","<Yuuka>
""Geez, why did you do that? I finally found some prey
 and you went and ruined it."""
"貴方が小悪魔を倒した瞬間、
1人の少女が貴方の前に姿を現し、そう文句を告げる。","","Right after you defeated the imp, a girl appeared from
the back of the room to complain."
"<優香>
『え？あぁ、違う違う。
　あんなザコの魔物のことじゃないって。』","","<Yuuka>
""Eh? Ah, that's not it. I didn't mean that small fry
 monster."""
"<優香>
『私はそこの男がモンスターに負けるのを待ってたの。
　それを、アンタがモンスター倒してくれちゃったから、
　台無しってわけ。』","","<Yuuka>
""I was waiting for that guy to lose to the monster.
 That's what you prevented from happening."""
"<優香>
『何のためにって、
　それ、私が教えるメリットある？』","","<Yuuka>
""Why was I waiting for that, you ask? What do I have
 to gain by telling you?"""
"<優香>
『ま、モンスターに襲われてるやつを助けるくらい、
　ゲームと現実の区別がついてないアンタには、
　絶対真似できないことだから教えてあげる。』","","<Yuuka>
""Actually, since you're some goody two-shoes who
 bothers saving people in a game, I guess I can tell.
 It's not like you would do it yourself."""
"<優香>
『まずさ、プレイヤー同士のレベルドレインには、
　一度にドレイン出来る制限がある。
　ここまではオッケー？』","","<Yuuka>
""You know how there's a limit on how many levels
 players can drain from each other?"""
"そう確認する少女に、貴方はうなづく。","","You nodded as the girl asked you that."
"<優香>
『でも逆に、プレイヤーでなければそんな制限はない。
　例えば、モンスターに負けたとき、とかさ♡』","","<Yuuka>
""However, if the level drain is not initiated by a
 player, then there's no limit. For example, when
 players loses to monsters♡"""
"<優香>
『だから、プレイヤーがモンスターに負けた瞬間、
　そのモンスターを倒してやれば…………』","","<Yuuka>
""That's why, if you defeat the monster right as it
 has defeated another player and take its place..."""
"<優香>
『経験値タンクの出来上がり♡
　経験値を丸ごと、横取りできるってわけ♡
　どう？これが私の考えた効率のいいレベルのあげ方♡』","","<Yuuka>
""You've made yourself a massive EXP tank♡
 You can drain the guy for all the levels he has♡
 What do you think of my amazing leveling method?"""
"<アル>
『嘘…じゃあ、この人は、ほかのプレイヤーを殺して……』","","<Al>
""No way... She's killing other players just to gain
 levels?"""
"彼女の言葉を聞いて、アルが呆然とした表情でつぶやく。
そんな彼女の言葉に、貴方の表情も自然と険しくなる。","","Al was in pure shock after hearing the girl's words.
Your expression also turned to grim."
"<優香>
『はいはい、そんな怖い目で睨まないでよ。
　たかがゲーム、
　許された仕様の中で最善を尽くすのは当然でしょ？』","","<Yuuka>
""Now, now. Don't give me that scary look. It's just a
 game, so it's completely natural to exploit its
 system to the limit, right?"""
"責めるような目で彼女を見つめると、
彼女はなんでもないように手をひらひらとしながら開き直る。","","As you frowned at the girl, she returned your stare
with a wave of her hand like it's not a big deal."
"<優香>
『は？もうそんなことはやめろ？
　ゲームオーバーになれば、本当に死ぬ可能性がある？』","","<Yuuka>
""Huh? I should stop doing it? There's a chance that
 people really die if they get a game over?"""
"<優香>
『あ～あ、
　これだから娯楽になれてないやつはめんどくさいのよ……
　こんなの、ただのゲームに決まってるでしょ。』","","<Yuuka>
""Aa-ah, this is why guys who can't have fun are such
 a pain in the ass... You do realize that this is just
 a game, right?"""
"<優香>
『いるのよね、こういうゲームにも倫理観持ち出す馬鹿♡
　PvPありのゲームで、倫理なんて説かないでよね。』","","<Yuuka>
""There's always those kind of people: Fools who try to
 apply morals even in a game♡ That kind of stuff is
 totally pointless when PVP is included, you know?"""
"少女はうんざりとした顔で貴方にそう説明する。","","The girl told you off with a fed up face."
"どうやら、彼女に何を言っても信じてもらえないようだ。","","The girl wasn't listening no matter what you said."
"<優香>
『ふぅ…ほんと…ムカついてきたかも。
　邪魔してきたうえに、上から目線で説教とかさ。』","","<Yuuka>
""Sigh... You're seriously starting to piss me off.
 Not only did you take away my prey but had the
 audacity to lecture me too."""
"<優香>
『ねぇアンタ、ちょっと憂さ晴らしに付き合ってくれる？
　ちなみにアンタに拒否権はないから♡』","","<Yuuka>
""Hey♡ How about you accompany me in a little diversion
 to make up for it? By the way, refusing isn't an
 option♡"""
"彼女はそう言うと、自身の周りに魔力を纏っていく。
どうやら、PvPを仕掛けてくるようだ。","","The girl coated herself in mana as she said that.
She's about to fight you in PVP."
"<アル>
『気を付けて！すごい圧力だよ！』","","<Al>
""\n[1], be careful!
 She's giving off really strong aura!"""
"彼女が戦闘の体制を整えるにつれて、
アルが焦ったようにそう叫ぶ。","","Al warned you in a hurry as the girl finished her
preparations."
"<優香>
『じゃ、
　サクッとボコってプライドをへし折ってあげる♡
　誰に意見してたのか、身の程を知ってよね♡』","","<Yuuka>
""Now then, time to beat you up and crush your pride♡
 I'll make you learn your place for running your mouth
 with me like that♡"""
"<優香>
『ぐ…嘘でしょ…？
　なんで、アンタみたいなやつがこんなとこに……』","","<Yuuka>
""Ugh... You can't be serious...
 Why is someone like you here..."""
"倒れ伏した優香は、苦痛に顔を歪めながら、
信じられないという顔で貴方を見上げている。","","Yuuka looked at you on the floor with her face dyed in
pain and shock."
"<アル>
『す、すごい………あんなに強そうな子に、
　勝っちゃった…………』","","<Al>
""A-Amazing... \n[1], you beat even when
 she was so strong..."""
