"<Filter:ティルトシフト,tiltshift,2>",""
"EV001",""
"宝箱のように見えるが、ただの箱のようだ","It's a box that looks like a treasure chest."
"EV002",""
"EV003",""
"EV004",""
"EV005",""
"EV006",""
"EV007",""
"EV008",""
"EV009",""
"EV010",""
"EV011",""
"EV012",""
"EV013",""
"EV014",""
"EV015",""
"EV016",""
"EV017",""
"EV018",""
"EV019",""
"EV020",""
"『こちらはチップコイン交換所ですよ～♡
　10000Gを1000チップコインに変換していきますか？』","""This is the Chip Coin exchange♡ Would you like to
 exchange 10000G for 1000 Chip Coins?"""
"はい","Yes"
"いいえ","No"
"『かしこまりました♡
　それではこちらをどうぞ♪
　また補充したくなったらここに来てくださいね♡』","""Understood♡ Here are your casino chips♪ Please come
 to this counter again if you need to replenish your
 chips♡"""
"<アル>
『えへへ♪
　どこで遊ぶー？
　このコインをたくさん増やしていこうね！』","<Al>
""Ehehe♪ What should we play? Let's win and get more of
 these chips!"""
"『あらお客様、
　10000Gに所持金が足りないみたいですね♡
　カジノで遊ぶ前にしっかりお金を稼いできてください♡』","""Oh my. Sir, it looks like you don't have 10000G in
 your possession. Please go out to earn some money
 before playing at the casino♡"""
"<アル>
『10000G…結構高いよね、
　カジノで遊ぶのはやめておく？』","<Al>
""10000G... That's quite expensive. Are we going to
 leave playing for another time?"""
"EV021",""
"『こちらはチップコイン交換所です。
　1000チップコインを10000Gに変換していきますか？』","""This is the Chip Coin exchange. Would you like to
 exchange 1000 Chip Coins for 10000G?"""
"『承りました。
　それでは……こちらをどうぞ。
　また是非遊びに来てくださいね。』","""Understood... Here is your gold. Please come play
 again."""
"<アル>
『な、なんか嫌な予感がしたもんね……
　カジノで遊ぶのはやめて、
　これで美味しいものでも食べよっか♡』","<Al>
""I-I'm getting kind of bad vibes... Let's leave the
 casino and go eat something delicious♡"""
"『あら、お客様？
　先ほど負けてしまったことをお忘れですか？
　……ふふ♡お客様の情けない負け姿、
　しっかり監視カメラで見てましたよ♡』","""Oh? Sir, did you forget that you just lost a game of
 Blackjack? ...Ahaha♡ I clearly saw it from the
 surveillance camera how pitiful you looked when that
 happened♡"""
"『また気持ちよく負けたいのなら、
　此方ではなく隣のカウンターで………
　お金をチップコインに変換してくださいね♡』","""If you're looking for another orgasmic loss, please
 head to the next counter to exchange gold for casino
 chips♡"""
"<アル>
『うぅぅ…カジノって怖いとこだよ…
　も、もう帰ろ……？』","<Al>
""Uuuh... Casinos are scary... Can we leave already?"""
"『あらお客様、
　1000チップ所持してないじゃありませんか。
　ちゃんと1000チップ手に入れてから、
　私に話しかけてくださいね。』","""Oh? Sir, it looks like you don't have 1000G chips.
 Please talk to me once you have 1000G chips on hand."""
"<アル>
『たくさんチップコイン稼いで、
　大金持ちになろうねー♪』","<Al>
""Let's earn lots of chips and become rich♪"""
"EV022",""
"『よいしょっと………
　ん？ここで遊びたいの？
　ごめんね～、今清掃中だから♡
　ちょっと前のお客さんが汚しちゃってさ♡』","""There we go... Hmm? Are you looking for a game of
 Blackjack? Sorry, but this table is currently being
 cleaned♡ The last customer made quite a mess, you
 see♡"
"『右のテーブルでも、
　ブラックジャックで遊べるから……
　遊びたいならそっちで遊んできてね～♡』","""There's another table for Blackjack on the opposite
 side of the casino♡ Please head over there if you're
 looking for a game♡"""
"<アル>
『……？
　勝負に熱くなりすぎて、
　食べ物でもこぼしちゃったのかな？』","<Al>
""...? Did the customer get so heated up that they
 spilled a drink or something?"""
"EV023",""
"EV024",""
"EV025",""
"『ドリンクはいかがですか～？
　1本300Gです。お酒もジュースもありますよ～。』","""Would you like a drink? A single glass is 300G.
 We have both alcohol and juice available."""
"<アル>
『わ、お金かかるんだ……
　むー……無料ならがぶがぶ飲もうと思っていたのに……』","<Al>
""Oh... You need to pay for it... If it was free I
 would have downed it with gusto!"""
"アルが残念そうにそう言葉を漏らす。
…アルみたいな人がいたから、有料なんじゃないだろうか。","Al muttered that in disappointment. The free drinks
have probably been removed because there were people
with the same idea as her."
"EV026",""
"『スロットは台を叩かないでくださいね。
　壊れることはありませんが、
　周りのお客様のご迷惑となりますので。』","""Please don't punch the slot machines. They won't
 break, but you'll disturb other customers."""
"<アル>
『ふふー………叩いたりしないで、
　健全に遊ぶのが一番だよね♪』","<Al>
""Ehehe... It's the best to play normally without
 punching the machines♪"""
"……何故だろう、
なんとなくアルは負けた時に叩きそうな気がする……","...You don't know why, but you have a feeling that Al
is the type that punches the machine on loss."
"EV027",""
"『お客様、
　此方の台ではブラックジャックを遊ぶことができますよ。
　１つ、私と勝負してみませんか？♡』","""Sir, this table is for Blackjack. Would you like to
 join me for a game?"""
"遊んでいく","Play"
"やめておく","Stop"
"『あら…チップコインをお持ちでないようですね。　
　カウンターでゴールドを交換してきてください♡
　遊ぶのはその後で…♡お待ちしておりますよ♡』","""Oh... Looks like you don't have enough casino chips.
 Please go exchange some at the counter by the
 entrance♡ We can play a game after that♡ I'll be
 waiting♡"""
"<アル>
『ブラックジャック……
　え～と、カードゲームかな？
　せっかくだしやってみる？』","<Al>
""Blackjack... Um, is that a card game? Why not try
 playing since we have a chance?"""
"『そうですか……
　また遊びたくなったらいつでも声をかけてくださいね。』","""I see... Please come to me if you ever feel like
 playing."""
"『ふふ♡
　お客様、またブラックジャックで遊んでいきませんか？
　以前と同じように気持ちよくして差し上げますよ♡』","""Ahaha♡ Would you like to play Blackjack again?
 I'll make you feel amazing just like last time♡"""
"『あら…チップコインが空じゃないですか。
　これでは気持ちいい敗北射精ができませんよ。
　ちゃんとカウンターでゴールドと交換してきてください♡』","""Oh... Looks like you don't have enough casino chips.
 You can't have give you amazing defeat orgasm like
 this. Please go exchange some chips at the counter
 by the entrance♡"""
"<アル>
『\n[1]……ブ、ブラックジャックは、
　やめといたほうがいいんじゃないかな…』","<Al>
""\n[1]... I don't think you should play any
 more Blackjack..."""
"『ふふ♡期待で勃起している癖に…
　お金が足りなくてチップを入手できないなら、
　装備でもなんでも売ってきてくださいね♡』","""Ahaha♡ What are you saying when you already have a
 boner? If you don't have enough gold for chips, why
 not sell your equipment or something?"""
"<アル>
『うぅ～……
　\n[1]、さすがにそんなことはしないよね……？』","<Al>
""Uuh... \n[1], you wouldn't go that far,
 would you?"""
"<バニーガール>
『あら、お客様…どうされましたか？
　今度はガードで遊んでいきます？♡』","<Bunny Girl>
""Oh, it's you, Sir♡ Would you like to play a game
 of Blackjack this time?"""
"<アル>
『だ、ダメだよ！
　カードじゃきっと勝てないもん…！
　もう遊ぶのはやめておこうね…』","<Al>
""N-No! \n[1], I'm sure you can't beat her at
 cards! We shouldn't play with her anymore..."""
"<バニーガール>
『っっ…！』",""
"貴方を見たバニーガールは、
とっさにお尻を隠して顔を赤くした。",""
"<アル>
『そりゃ、こんな反応されちゃうよね…』",""
"EV028",""
"『最初はこんなにぎやかなところじゃ、
　落ち着いて飲めないと思ってたんだけど……
　人間って慣れる生き物よね。』","""I thought that it would be impossible to calmly enjoy
 a drink in such a lively place, but seems like humans
 can get used to almost anything."""
"『今じゃすっかり、
　遊び終わった後にここで飲むのが習慣になっちゃったわ。
　どうしてカジノってこうもお財布のひもが緩むのかしら。』","""Now it's already a habit for me to sit down for a
 drink after playing some games. It's weird how you
 feel like loosening the strings of your purse in
 casino."""
"<アル>
『せっかく遊ぶなら、
　ぱーっと使っちゃいたいって思うからかな？
　うんうん、その気持ち分かるなー♪』","<Al>
""It might be that you want to go all out since you're
 out here to play! I can understand that feeling♪"""
"アルが同意するようにうなずいている。
……アルには財布のひもを握らせないほうがよさそうだ。","Al nodded her head in agreement. You feel like you need
to keep the strings of your purse tightly closed."
"<アル>
『…むー、なに？その顔は。
　……自分だってえっちな女の子に誘惑されたら、
　あっという間にお金使っちゃうくせに。』","<Al>
""Mmmh! What's with that face?! \n[1], I don't
 think you can talk how to spend money when you used up
 everything on that girl with big breasts!"""
"EV029",""
"『僕はお金そんなにないんだけど、
　目の保養のためによくここに来るんだ。
　……バニーガールの子たち、みんなエッチで可愛いよね。』","""I don't have much money in the way of money, but I
 often come to the casino to feast with my eyes...
 All the bunny girls are so cute and sexy, right?"""
"<アル>
『みんなきわどい衣装だよね！
　やっぱり魔物よりも人間の方が魅力的に見えるのかな？
　………\n[1]はどう？』","<Al>
""All of them are wearing such revealing clothes after
 all! Maybe players find other humans more attractive
 than monsters? ...\n[1], what do you think?"""
"魔物も悪くない","Monster aren't bad either"
"やっぱり人間のほうがいい","I prefer humans"
"<アル>
『ふふ、そうなんだ♪
　なんでか分かんないけど、ちょっと嬉しいかも……♪』","<Al>
""Ehehe♪ I see♪ I don't know why, but hearing that made
 me kind of happy♪"""
"<アル>
『ふむふむ、やっぱりそういうもの？
　…その割には魔物の子たちに責められてるときの\n[1]、
　情けない顔で感じてるのが多い気がするけど。』","<Al>
""Hmm... So it's really like that? ...Although
 \n[1], I think I've seen you make a shameful
 pleasure face with monsters quite often?"""
"EV030",""
"『あぁ……チップコインが欲しい…
　でももうお金が……い、いや……
　この装備を売れば…………』","""Aah... I need more chips... But I have no more
 money... No, wait... What if I sell my equipment..."""
"<アル>
『や、やめといたほうが良いと思うなー…
　そこまでしちゃうと本末転倒だよ……』","<Al>
""I-I think it would be better for him to stop...
 His priorities are backwards..."""
"EV031",""
"『ふふ……
　熱くなっちゃって、お馬鹿なお客様…♡
　このまま根こそぎ搾っちゃうかな…♡』","""Ahaha... Yes, talk yourself into it, Stupid Customer♡
 I'm going to milk you for all the chips you have...♡"""
"バニーガールは小声でそう呟いている…","The bunny girl muttered that in a low voice."
"<アル>
『イ、イカサマとかしてないよね…？
　なんだかちょっと、怪しい笑み……』","<Al>
""S-She's not cheating, is she? I think her smile is a
 bit suspicious..."""
"EV032",""
