"EV001","",""
"<盗賊サキュバス>
『よくここまで来たね♡
　ボクが今のところ冒険者さまにとって最後の敵！
　つまりはラスボスだよ♡』","",""
"<盗賊サキュバス>
『まぁ、本編では戦闘中しかしゃべらない、
　ただのザコキャラなんだけど…………』","",""
"<盗賊サキュバス>
『その辺はあまり深くは突っ込まないで？
　とにかく、ボクと勝負♪』","",""
"<盗賊サキュバス>
『冒険者さまのことを犯して、
　理性をトロトロにしてあげるからね♪
　わるーい盗賊に、メロメロにされちゃってよ♡』","",""
"<盗賊サキュバス>
『いたた……強いんだね、冒険者さま……
　まさか1回目で負けるとは思ってなかったよ…』","",""
"<盗賊サキュバス>
『っとっと、いけないいけない、
　え～と、こほんっ！』","",""
"<盗賊サキュバス>
『よくぞすべての敵を退けました！
　体験版で戦える敵はこれで全てですっ！』","",""
"<盗賊サキュバス>
『じゃあ、体験版を遊んでくれた冒険者さまに、
　ボクから装備のプレゼント♡』","",""
"<盗賊サキュバス>
『武器と防具、どっちがいいかな？
　武器の方が値段は高いけど、
　防具のほうが長く使えるかもね♡』","",""
"武器","",""
"防具","",""
"そんなものよりエッチなご褒美が欲しい","",""
"<盗賊サキュバス>
『分かった♪
　じゃあ、はい、これあげる♡
　どうやって手に入れたのか～とかは聞かないでね♪』","",""
"\n[1]は霊樹の木刀を手に入れた！","","\n[1] obtained Spirit Wood Sword!"
"<盗賊サキュバス>
『それは、2層で買える武器だよ♡
　ここから出ても所持したままになってるから、
　ちゃんと外でセーブするんだよ？』","",""
"<盗賊サキュバス>
『んんっ！というわけで、続きは製品版をお楽しみに♪
　この体験版が気に入ってくれたら、
　買ってくれると嬉しいな♡』","",""
"\n[1]は鉄の軽鎧を手に入れた！","","\n[1] obtained Light Iron Armor!"
"<盗賊サキュバス>
『それは、2層で買える防具だよ♡
　ここから出ても所持したままになってるから、
　ちゃんと外でセーブするんだよ？』","",""
"<盗賊サキュバス>
『というわけで、続きは製品版をお楽しみに♪
　この体験版が気に入ってくれたら、
　買ってくれると嬉しいな♡』","",""
"<盗賊サキュバス>
『え？装備よりエッチなことのほうがいいの？
　言っておくけど、新しい責め方とかないよ？
　それでもいいの？』","",""
"はい","","Yes"
"いいえ","","No"
"【注意！！】
この先のイベントにはメタ要素及び露骨な販促が含まれます。
そういうのが苦手な人は見ないことを推奨します。","",""
"また、新規CGは盗賊サキュバスが言うようにありません。
それでも体験版おまけのエッチシーンを受けますか？","",""
"<盗賊サキュバス>
『だよね♪冒険の役に立つ装備の方が嬉しいよね♡
　それじゃ、改めて聞くけど……
　武器と防具、どっちの方が欲しい？』","",""
"………………………………","",""
"<盗賊サキュバス>
『ふふ～♪ボクの勝ち～♡
　大したことないね？冒険者さま♡』","",""
"<盗賊サキュバス>
『まぁ、本来ならもっといい装備揃えて戦うはずだし、
　勝てないのも仕方ないんだけどね～♡』","",""
"<盗賊サキュバス>
『というわけで、はい、これあげる♡
　2層で買える装備♪』","",""
"貴方は様々な武器と防具を手に入れた！","","You obtained various weapon and armor!"
"<盗賊サキュバス>
『その武器と防具はここから出るときには、
　ボクが全部没収しちゃうことには気を付けてね？』","",""
"<盗賊サキュバス>
『じゃ、それを装備してかかっておいでよ冒険者様♡
　わるーい盗賊に負けたままは悔しいだろうしさ♪』","",""
"<盗賊サキュバス>
『お、リベンジする準備はできたかな？
　でも、ボクもそう簡単には負けないよ♡』","",""
"<盗賊サキュバス>
『冒険者様のこと返り討ちにして、
　もう一度あへあへ情けない声出させてあげるからね♡』","",""
"<盗賊サキュバス>
『いたた……ボクの負けかぁ…
　今回も勝つつもりだったんだけど……』","",""
"<盗賊サキュバス>
『じゃあ、装備は一旦返してもらうけど…
　体験版を遊んでくれた冒険者さまに、
　ボクからのプレゼント♡』","",""
"<盗賊サキュバス>
『ふふ～♪またボクの勝ち～♡
　装備が整っても負けちゃうなんて、
　情けないね♡冒険者さまぁ？♡』","",""
"<盗賊サキュバス>
『この外に出て、レベル上げしてくる？
　ボクはいつでもリベンジ歓迎してるから♡』","",""
